nome,telefone,endereco,created_at,updated_at,ativo,email
Sra. Heitor Godinho,(84) 6684-5283,"26577 Rua Lavínia Paiva, Central de Minas, AL 10066-302",2021-11-23 08:28:19 +0000,2022-05-18 01:51:37 +0000,false,contessa@reichel.example
Marcia Caseira,(71) 2001-8876,"Apto. 613 585 Rua Pietra, São Luís Gonzaga do Maranhão, MS 79335-593",2022-12-07 12:22:23 +0000,2023-05-23 15:23:27 +0000,true,cari_quigley@hamill.test
Bernardo da Costa,(67) 5373-9639,"Quadra 51 7511 Rodovia Sophie Jaques, Garuva, MT 70476-019",2022-09-27 16:12:55 +0000,2023-03-22 19:57:25 +0000,false,sylvester_littel@erdman-franecki.test
Felícia Pereira,(64) 3763-8064,"942 Ponte Ana Vitória, Icém, SP 51031-389",2022-05-07 22:22:44 +0000,2022-06-15 16:28:45 +0000,true,vince@hoeger.test
Marcela Antena,(82) 8014-7784,"Apto. 126 10648 Viela Meire Ouriques, Nova Cruz, GO 17793-776",2022-06-11 00:51:21 +0000,2023-03-30 20:05:55 +0000,false,ambrose_kuhic@schoen.example
Vinicius da Costa Jr.,(44) 5351-7814,"7630 Marginal Matheus, Itapeva, PB 97355-474",2022-06-29 23:12:59 +0000,2023-06-22 22:08:38 +0000,false,tonisha_price@champlin-torphy.test
Júlia Xavier,(21) 2452-5837,"5059 Travessa Pedro Henrique Ferreira, Balsas, RS 86023-368",2022-02-18 11:39:38 +0000,2022-11-22 08:30:33 +0000,false,lamont@bergstrom.test
Mércia Carneiro,(22) 3699-0394,"1047 Rua Elisa, Prado Ferreira, RS 41930-527",2023-04-07 22:35:06 +0000,2023-04-08 16:54:33 +0000,false,phil@parisian.test
Srta. Isis Neves,(22) 7475-4125,"Sobrado 87 9208 Marginal Ruan Cachoeira, Macaúbas, TO 13915-154",2022-08-13 21:50:49 +0000,2022-09-11 09:15:41 +0000,true,edmundo.jacobson@strosin.example
Hugo Peixoto Filho,(16) 9828-3827,"Sobrado 17 6546 Ponte Isaac, Santa Efigênia de Minas, AC 19888-308",2022-05-27 19:47:42 +0000,2022-11-27 03:56:29 +0000,true,karry@gutkowski.test
Carla Ordonhes,(38) 1591-1994,"847 Ponte Natália, Marco, SE 57416-478",2022-01-29 12:53:18 +0000,2023-03-04 21:25:44 +0000,false,fawn@bosco-becker.example
Clara Albuquerque Jr.,(45) 2944-5547,"Lote 21 3171 Alameda Lucas Gabriel Raia, Coroatá, ES 22285-972",2023-04-25 04:06:04 +0000,2023-05-27 17:37:21 +0000,false,fletcher.hammes@barrows-ryan.example
Joaquim Viana,(73) 6080-2676,"Quadra 93 s/n Rodovia Emanuelly, Barra de Santo Antônio, PE 45291-899",2023-04-13 14:06:41 +0000,2023-05-20 14:09:21 +0000,false,danica_west@schaefer.example
